target_id	length	eff_length	est_counts	tpm
SVE_0000039150.1	195	70.7596	0	0
SVE_0000052350.1	138	37.9924	30	13.5503
SVE_0000062250.1	117	28.6123	0	0
SVE_0000063250.1	237	99.4985	0	0
SVE_0000065950.1	450	279.784	32	1.96269
SVE_0000096450.1	1542	1362.68	652.954	8.22267
SVE_0000100.1	390	225.166	641.448	48.8857
SVE_0000115450.1	141	39.4448	4	1.74018
SVE_0000120250.1	519	344.965	68	3.38265
SVE_0000131050.1	165	52.2762	693	227.485
SVE_0000176450.1	210	80.7271	0	0
SVE_0000182450.1	117	28.6123	1276	765.283
SVE_0000195350.1	708	530.198	1	0.0323658
SVE_0000199550.1	582	405.954	190	8.03156
SVE_0000200.1	1455	1275.68	10.5388	0.141766
SVE_0000204650.1	174	57.7449	1310	389.298
SVE_0000205350.1	1902	1722.68	0	0
SVE_0000212950.1	378	214.546	15	1.19976
SVE_0000282050.1	141	39.4448	0	0
SVE_0000300.1	318	163.143	0	0
SVE_0000332450.1	120	29.8061	0	0
SVE_0000382550.1	198	72.6219	1	0.236296
SVE_0000383350.1	2463	2283.68	6524.88	49.0299
SVE_0000390450.1	327	170.579	10	1.006
SVE_0000399650.1	102	22.7916	0	0
SVE_0000400.1	2220	2040.68	0	0
SVE_0000434133.1	225	91.0467	0	0
SVE_0000434166.1	249	108.211	0	0
SVE_0000434250.1	243	103.883	13	2.14746
SVE_0000441550.1	177	59.4422	538	155.314
SVE_0000456700.1	2871	2691.68	567.01	3.61486
SVE_0000462850.1	210	80.7271	267	56.7565
SVE_0000477750.1	1275	1095.68	315	4.93345
SVE_0000491450.1	105	23.996	3	2.14539
SVE_0000500.1	1701	1521.68	13	0.146603
SVE_0000502650.1	150	44.085	0	0
SVE_0000503850.1	240	101.654	0	0
SVE_0000524150.1	960	780.739	57.9877	1.27454
SVE_0000525950.1	195	70.7596	3	0.727544
SVE_0000526450.1	168	54.1317	404	128.072
SVE_0000533850.1	237	99.4985	6.04818	1.04311
SVE_0000542450.1	198	72.6219	588	138.942
SVE_0000546850.1	4899	4719.68	1246.05	4.53052
SVE_0000569350.1	1704	1524.68	49.1557	0.553247
SVE_0000569650.1	144	40.8796	1	0.419776
SVE_0000572950.1	303	150.696	0	0
SVE_0000576650.1	144	40.8796	12	5.03731
SVE_0000584150.1	387	222.424	789.546	60.9144
SVE_0000600.1	3477	3297.68	2	0.0104075
SVE_0000625150.1	150	44.085	1174	456.984
SVE_0000657250.1	111	26.1992	0	0
SVE_0000660650.1	96	20.3839	3	2.52557
SVE_0000661550.1	276	129.221	24	3.18714
SVE_0000662550.1	180	61.218	0	0
SVE_0000663350.1	1521	1341.68	29.0129	0.371079
SVE_0000666150.1	240	101.654	11	1.85691
